id,title,address,latitude,longitude,description,body,photourl
29 Park Place,29 Park Place,,39.32475616,-82.10028405,,,
29 Park Place Carriage House,29 Park Place Carriage House,,39.32445396,-82.10013121,,,
31 South Court Street,31 South Court Street,,39.32812777,-82.10176744,,,
35 Park Place,35 Park Place,,39.32476745,-82.09994308,,,
Academic and Research Center,Academic and Research Center,,39.32684194,-82.10596248,,,
Adams Hall,Adams Hall,,39.32213517,-82.09596115,,,
Alden Library,Alden Library,,39.32550184,-82.10020269,,,
Alumni Gateway,Alumni Gateway,,39.32737826,-82.10109087,,,
Aquatic Center,Aquatic Center,,39.323419,-82.10224091,,,
Armbruster House,Armbruster House,,39.32326499,-82.09288935,,,
Athena Cinema,Athena Cinema,,39.32862574,-82.10107111,,,
Atkinson House,Atkinson House,,39.32341833,-82.09245757,,,
Baker University Center,Baker University Center,,39.32507009,-82.10168826,,,
Bentley Hall and Annex,Bentley Hall and Annex,,39.32655688,-82.10224159,,,
Bentley Hall and Annex,Bentley Hall and Annex,,39.32655688,-82.10224159,,,
Biddle Hall,Biddle Hall,,39.32626209,-82.09746654,,,
Bingham House,Bingham House,,39.32194938,-82.10501397,,,
Biochemistry Research Facility,Biochemistry Research Facility,,39.33499238,-82.11605166,,,
Bird Arena,Bird Arena,,39.32393449,-82.10226206,,,
Botanical Research,Botanical Research,,39.32597536,-82.09839961,,,
Boyd Hall,Boyd Hall,,39.3261777,-82.10454935,,,
Bromley Hall,Bromley Hall,,39.32800349,-82.10297787,,,
Brough House,Brough House,,39.32432471,-82.09388288,,,
Brown Hall,Brown Hall,,39.32521785,-82.09483856,,,
Brown House,Brown House,,39.32723311,-82.09858277,,,
Bryan Hall,Bryan Hall,,39.32667355,-82.09863568,,,
Bush Hall,Bush Hall,,39.32625787,-82.09641521,,,
Bush Hall,Bush Hall,,39.32625787,-82.09641521,,,
Cady Hall,Cady Hall,,39.32391897,-82.09422063,,,
Carin Strength Training Center,Carin Strength Training Center,,39.3206121,-82.10371076,,,
Carr Hall,Carr Hall,,39.32286093,-82.09816053,,,
Central Classroom Building,Central Classroom Building,,39.32813969,-82.104156,,,
Central Food Facilities,Central Food Facilities,,39.32739391,-82.11020548,,,
Chemistry Building,Chemistry Building,,39.32339604,-82.09990975,,,
Chessa Field-Soccer Facility,Chessa Field-Soccer Facility,,39.32640517,-82.1116562,,,
Child Development Center,Child Development Center,,39.31956211,-82.11158846,,,
Chilled Water Plant 3,Chilled Water Plant 3,,39.3278063,-82.0929885,,,
Chilled Water Plant 3,Chilled Water Plant 3,,39.3278063,-82.0929885,,,
Chubb Hall,Chubb Hall,,39.3270874,-82.10122209,,,
Claire Oates Ping Cottage,Claire Oates Ping Cottage,,39.32568192,-82.09829023,,,
Class Gateway,Class Gateway,,39.3274907,-82.10001587,,,
Clippinger Laboratories,Clippinger Laboratories,,39.32273098,-82.09896525,,,
Compost Facility,Compost Facility,,39.3153406,-82.12298955,,,
Convocation Center,Convocation Center,,39.32341197,-82.10553664,,,
Copeland Hall,Copeland Hall,,39.3271093,-82.10168272,,,
Crawford Hall,Crawford Hall,,39.32401089,-82.09507938,,,
Crewson House,Crewson House,,39.32561479,-82.1016374,,,
Cutler Hall,Cutler Hall,,39.32623929,-82.10021853,,,
Dougan House,Dougan House,,39.32239191,-82.09319286,,,
Driving Range,Driving Range,,39.33411,-82.11907,,,
Edgehill Maintenance Building,Edgehill Maintenance Building,,39.32726956,-82.0978042,,,
Edwards Accelerator Lab,Edwards Accelerator Lab,,39.32413641,-82.09984928,,,
Ellis Hall,Ellis Hall,,39.32599648,-82.09937567,,,
Emeriti Park,Emeriti Park,,39.3232756,-82.1007945,,,
Environmental &amp; Plant Biology Greenhouse,Environmental &amp; Plant Biology Greenhouse,,39.32448924,-82.09794227,,,
Ewing House,Ewing House,,39.32239159,-82.09421978,,,
Ewing House,Ewing House,,39.32239159,-82.09421978,,,
Facilities Shops 2,Facilities Shops 2,,39.3287,-82.10892,,,
Facilities Shops 3,Facilities Shops 3,,39.32749,-82.10899,,,
Fenzel House,Fenzel House,,39.32306126,-82.09447427,,,
Foster House,Foster House,,39.32430593,-82.09431644,,,
Galbreath Chapel,Galbreath Chapel,,39.32626112,-82.09942466,,,
Gamertsfelder Hall,Gamertsfelder Hall,,39.32546857,-82.09655878,,,
Gladys W. and David H. Patton Hall (Patton Hall),Gladys W. and David H. Patton Hall (Patton Hall),,39.32757443,-82.09652922,,,
Glidden Hall,Glidden Hall,,39.32838467,-82.09797657,,,
Golf Course,Golf Course,,39.31980703,-82.09661633,,,
